rep,nrNodes,nrEdges,edgeProb,nrPaths,failure rate,noFailed,failureModel,failurePercent,hopsWithHeader,hopsMultipleTree,hopsOfEDPWithHeader
48,197,243,graphml/Cogentco.graphml,2,,4,clustered,0.8;-0.3,-1,-1,-1
47,197,243,graphml/Cogentco.graphml,2,,9,clustered,0.8;-0.3,-1,-1,-1
46,197,243,graphml/Cogentco.graphml,3,,17,clustered,0.8;-0.3,2,6,2
45,197,243,graphml/Cogentco.graphml,3,,28,clustered,0.8;-0.3,-1,-1,-1
44,197,243,graphml/Cogentco.graphml,2,,3,clustered,0.8;-0.3,20,14,20
43,197,243,graphml/Cogentco.graphml,1,,3,clustered,0.8;-0.3,-1,-1,-1
42,197,243,graphml/Cogentco.graphml,2,,3,clustered,0.8;-0.3,-1,-1,-1
41,197,243,graphml/Cogentco.graphml,2,,9,clustered,0.8;-0.3,-1,-1,-1
40,197,243,graphml/Cogentco.graphml,2,,5,clustered,0.8;-0.3,-1,-1,-1
39,197,243,graphml/Cogentco.graphml,2,,8,clustered,0.8;-0.3,-1,-1,-1
38,197,243,graphml/Cogentco.graphml,2,,4,clustered,0.8;-0.3,-1,-1,-1
37,197,243,graphml/Cogentco.graphml,1,,8,clustered,0.8;-0.3,17,27,17
36,197,243,graphml/Cogentco.graphml,1,,13,clustered,0.8;-0.3,-1,-1,-1
35,197,243,graphml/Cogentco.graphml,2,,4,clustered,0.8;-0.3,-1,-1,-1
34,197,243,graphml/Cogentco.graphml,2,,4,clustered,0.8;-0.3,-1,-1,-1
33,197,243,graphml/Cogentco.graphml,1,,1,clustered,0.8;-0.3,-1,-1,-1
32,197,243,graphml/Cogentco.graphml,2,,30,clustered,0.8;-0.3,-1,-1,-1
31,197,243,graphml/Cogentco.graphml,2,,6,clustered,0.8;-0.3,-1,-1,-1
30,197,243,graphml/Cogentco.graphml,2,,9,clustered,0.8;-0.3,-1,-1,-1
29,197,243,graphml/Cogentco.graphml,2,,6,clustered,0.8;-0.3,-1,-1,-1
28,197,243,graphml/Cogentco.graphml,2,,7,clustered,0.8;-0.3,-1,-1,-1
27,197,243,graphml/Cogentco.graphml,2,,8,clustered,0.8;-0.3,-1,-1,-1
26,197,243,graphml/Cogentco.graphml,2,,4,clustered,0.8;-0.3,-1,-1,-1
25,197,243,graphml/Cogentco.graphml,3,,12,clustered,0.8;-0.3,95,12,95
24,197,243,graphml/Cogentco.graphml,2,,5,clustered,0.8;-0.3,-1,-1,-1
23,197,243,graphml/Cogentco.graphml,2,,8,clustered,0.8;-0.3,-1,-1,-1
22,197,243,graphml/Cogentco.graphml,1,,4,clustered,0.8;-0.3,-1,-1,-1
21,197,243,graphml/Cogentco.graphml,1,,3,clustered,0.8;-0.3,-1,-1,-1
20,197,243,graphml/Cogentco.graphml,2,,11,clustered,0.8;-0.3,-1,-1,-1
19,197,243,graphml/Cogentco.graphml,2,,7,clustered,0.8;-0.3,-1,-1,-1
18,197,243,graphml/Cogentco.graphml,2,,10,clustered,0.8;-0.3,-1,-1,-1
17,197,243,graphml/Cogentco.graphml,2,,10,clustered,0.8;-0.3,-1,-1,-1
16,197,243,graphml/Cogentco.graphml,2,,5,clustered,0.8;-0.3,37,38,41
15,197,243,graphml/Cogentco.graphml,2,,8,clustered,0.8;-0.3,-1,-1,-1
14,197,243,graphml/Cogentco.graphml,2,,8,clustered,0.8;-0.3,-1,-1,-1
13,197,243,graphml/Cogentco.graphml,1,,5,clustered,0.8;-0.3,-1,-1,-1
12,197,243,graphml/Cogentco.graphml,1,,9,clustered,0.8;-0.3,-1,-1,-1
11,197,243,graphml/Cogentco.graphml,2,,7,clustered,0.8;-0.3,-1,-1,-1
10,197,243,graphml/Cogentco.graphml,1,,9,clustered,0.8;-0.3,11,11,11
9,197,243,graphml/Cogentco.graphml,2,,7,clustered,0.8;-0.3,-1,-1,-1
8,197,243,graphml/Cogentco.graphml,2,,9,clustered,0.8;-0.3,-1,-1,-1
7,197,243,graphml/Cogentco.graphml,1,,5,clustered,0.8;-0.3,-1,-1,-1
6,197,243,graphml/Cogentco.graphml,2,,9,clustered,0.8;-0.3,-1,-1,-1
5,197,243,graphml/Cogentco.graphml,2,,12,clustered,0.8;-0.3,-1,-1,-1
4,197,243,graphml/Cogentco.graphml,1,,4,clustered,0.8;-0.3,-1,-1,-1
3,197,243,graphml/Cogentco.graphml,2,,6,clustered,0.8;-0.3,-1,-1,-1
2,197,243,graphml/Cogentco.graphml,3,,28,clustered,0.8;-0.3,-1,-1,-1
1,197,243,graphml/Cogentco.graphml,2,,9,clustered,0.8;-0.3,-1,-1,-1
