rep,nrNodes,nrEdges,edgeProb,nrPaths,failure rate,noFailed,failureModel,failurePercent,hopsWithHeader,hopsMultipleTree,hopsOfEDPWithHeader
23,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,23,17,23
22,197,243,graphml/Cogentco.graphml,1,23,0,random,-1,14,14,14
21,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,30,23,13
20,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,10,11,10
19,197,243,graphml/Cogentco.graphml,1,23,0,random,-1,5,5,5
18,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,-1,-1,-1
17,197,243,graphml/Cogentco.graphml,1,23,0,random,-1,14,14,14
16,197,243,graphml/Cogentco.graphml,3,23,46,random,-1,3,3,3
15,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,9,9,9
14,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,-1,-1,-1
13,197,243,graphml/Cogentco.graphml,1,23,0,random,-1,14,14,14
12,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,-1,-1,-1
11,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,-1,-1,-1
10,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,4,4,4
9,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,14,14,14
8,197,243,graphml/Cogentco.graphml,1,23,0,random,-1,13,13,13
7,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,-1,-1,-1
6,197,243,graphml/Cogentco.graphml,3,23,46,random,-1,-1,-1,-1
5,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,10,10,10
4,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,-1,-1,-1
3,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,6,6,6
2,197,243,graphml/Cogentco.graphml,1,23,0,random,-1,22,22,22
1,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,14,-1,14
